Project Name,Chosen Customer,Status,Hours,Is Duplicate,Other Customers
"Penn Valley Gas","Hoover Building Specialists, Inc.","In Progress",486.05,false,
"Penn Valley Gas (Old)","Hoover Building Specialists, Inc.","To Do",486.05,false,
"Penske Truck Collision Center","Berg Construction","Bid Submitted",825.6,false,
"Piazza Porsche","Paul Risk Construction","Bid Submitted",3558.370000000001,false,
"Piazza Volkswagen","Speedwell Construction Inc.","Lost",3069.620000000003,false,
"PMC Operations","","Estimating",null,false,
"PMC Test Project","","Estimating",null,false,
"PMC_Shop_Time","","Estimating",null,false,
"Poplar Church Road Site","BN Excavating Inc.","Lost",1149.3,false,
"Poplar Square Apartment Building","Heck Construction","Lost",1609.5,false,
"Prestige Painting","Hoover Building Specialists, Inc.","Bid Submitted",934.43,false,
"Pro Ag","Scenic Ridge Construction","Bid Submitted",726.25,false,
"Providence Park Garage 306","CCS Building Group","Lost",5,false,
"PSECU","American Construction And Concrete","Bid Submitted",708.52,false,
"Railroad Museum of PA","eciConstruction","Lost",3352.5,true,"George Allen Construction; Caldwell, Heckles and Egan, Inc."
"Railroad Preservation Society","Heck Construction","Bid Submitted",98,false,
"Raymond King","Raymond King","Bid Submitted",null,false,
"Regency Square Concrete Replacement","Heck Construction","Lost",27.8,false,
"Reserve at Eagles Landing","CH+N Site","Bid Submitted",1261,false,
"Residences at Providence Town Center, Phase 3","Bozzuto Construction Company","Bid Submitted",6932.5,false,
"Richmond Square","Heck Construction","Bid Submitted",728,false,
"Rob Rush","Scenic Ridge Construction","Bid Submitted",173.5,false,
"Rockvale Apartments","Fernmoor Homes","Bid Submitted",4640,false,
"Rohrers Office Building","LL Groff & Son, Inc.","Bid Submitted",785,false,
"Rushtown Poultry","Brecknock Builders LLC","Bid Submitted",3609.5,true,"Hoover Building Specialists, Inc."
"Sadsbury Commons","Milex Construction, LLC","Accepted",7599.5,true,Scenic Ridge Construction
"Sandbox Test Project","","Estimating",190.79,false,
"Sauders Feedmill","Hoover Building Specialists, Inc.","In Progress",190.5,false,
"SECCRA","Berg Construction","Bid Submitted",202.27,false,
"Shalom Mennonite School","Hoover Building Specialists, Inc.","Bid Submitted",7.2,false,
"Shank Door Main Building","Hoover Building Specialists, Inc.","In Progress",2690.409999999999,false,
"Shank Door Site","Hoover Building Specialists, Inc.","In Progress",1471.9,false,
"Shank Door Wash Bay","Hoover Building Specialists, Inc.","Lost",178,false,
"Shop_Equipment_Test","","Estimating",null,false,
"SLI George Street","Benchmark Construction Co., Inc.","Bid Submitted",2121.5,false,
"Smucker Energy","Brecknock Builders LLC","Bid Submitted",522.0299999999999,false,
"Smucker's Hardscape","Hoover Building Specialists, Inc.","Bid Submitted",258.9,false,
"Solanco HS Toilet Room Reno","Paul Risk Construction","Invitations",null,false,
"SPD Jaindl Farms","IMC Construction","Bid Submitted",1806,false,
"Sporting Hill Christian School","Hoover Building Specialists, Inc.","Bid Submitted",703.5,false,
"Spring Valley Church of God","Hoover Building Specialists, Inc.","Bid Submitted",195.5,false,
"Spring Valley Church of God Interior Balcony","Hoover Building Specialists, Inc.","Bid Submitted",201,false,
"St Annes Cottages 45 & 46","Benchmark Construction Co., Inc.","Complete",616,false,
"St Peters","Funk Construction","Bid Submitted",811.5,true,"Centurion Construction Group, LLC"
"St Peters Church","Keller Contracting LLC","Bid Submitted",811.5,true,Kinsley Construction
"Stable Hollow Facility","Professional Design & Construction, LLC","Bid Submitted",3118.55,false,
"Standard Estimating Template","","Estimating",null,false,
"Standard Project Template","","Estimating",null,false,
"Stevens Feed Mill (Jr's. Demo Project)","Paradise Masonry, LLC","Estimating",92.25,false,
"Stevens Feed Mill Schoeneck","Hoover Building Specialists, Inc.","In Progress",4111.5,false,
"Stevens Feed Mill-Denver","Hoover Building Specialists, Inc.","Bid Submitted",167.73,false,
"Stoltzfus Hardwoods- Storage Building","Hoover Building Specialists, Inc.","In Progress",293,false,
"Strasburg Railroad Bathroom","Heck Construction","Bid Submitted",77,false,
"Summerdale Apartments","B.R. Kreider & Son, Inc.","Bid Submitted",466.8,false,
"Superior Truss Lumber Storage Addition","Hoover Building Specialists, Inc.","Bid Submitted",277.2699999999999,false,
"Superior Truss Storage Shed","Hoover Building Specialists, Inc.","Bid Submitted",325.5999999999999,false,
"Superior Trusses Sprinkler System","Hoover Building Specialists, Inc.","Bid Submitted",13.9,false,
"Swedesford Road Bear Hill Elementary","CH+N Site","Bid Submitted",1713.3,false,
"T2T Veterans Village","B.R. Kreider & Son, Inc.","Lost",1227.1,false,
"Tamaqua Truck and Trailer","Hoover Building Specialists, Inc.","Lost",134,false,
"Tel Hai Health Center","Warfel Construction","In Progress",1747.5,false,
"Telford Contractor Storage","Hoover Building Specialists, Inc.","Lost",253,false,
"Test project 2","","Estimating",6.619999999999998,false,
"Thaddeus Stevens - Dorm Building","Benchmark Construction Co., Inc.","Estimating",null,false,
"The Learning Experience","CGA Construction","Complete",528.48,false,
"The Meadows Hybrid Homes Buildings 1 &2","Warfel Construction","Lost",2006,false,
"The Residences At Mill Creek","Groffdale Concrete Walls","Bid Submitted",4668.740000000002,false,
"The Trailer Shoppe","Hoover Building Specialists, Inc.","Bid Submitted",227.6,false,
"Townplace Suites - Lebanon","American Construction And Concrete","Lost",1428,true,Speedwell Construction Inc.
"Treehouse Foods","B.R. Kreider & Son, Inc.","Lost",568,false,
"True Legacy Metals","Hoover Building Specialists, Inc.","Bid Submitted",704.4300000000001,false,
"UGI Middletown Warehouse","Benchmark Construction Co., Inc.","Complete",1039,false,
"Valley Storage Lititz Springs","Storage Construction","Bid Submitted",2214.5,false,
"Valley View Doors","Brecknock Builders LLC","Lost",336,false,
"Veritas Academy","Warfel Construction","In Progress",677.5,false,
"Village at Painters Crossing","Caritas Construction","Bid Submitted",2149.5,true,"A & E Construction, Inc."
"Village Farm Market","Hoover Building Specialists, Inc.","Bid Submitted",1866.02,false,
"Washburn Dam","Berg Construction","In Progress",495.2,false,
"WaWa #8191 Hummelstown","Speedwell Construction Inc.","Bid Submitted",1488.600000000001,false,
"WaWa #8191 Hummelstown Ames","Ames Construction, Inc.","Bid Submitted",2933.800000000002,false,
"Wawa #8213","Ames Construction, Inc.","Bid Submitted",1699.5,false,
"Wawa #8236","Speedwell Construction Inc.","Bid Submitted",1281,true,"Ames Construction, Inc."
"Weaver Industries","Heck Construction","Bid Submitted",164.5,false,
"Weavertown Mennonite School","Brecknock Builders LLC","Bid Submitted",831,true,"Hoover Building Specialists, Inc."
"Weiler Walls","Hoover Building Specialists, Inc.","Bid Submitted",1662.93,false,
"Wellspan Rothsville Ramp","Heck Construction","Bid Submitted",140.5,false,
