RowIndex,OldUniqueKey,OldCostCode,OldItemId,OldName,NewUniqueKey,NewCostCode,NewItemId,NewName
108,03-300-30-30|36804328,03-300-30-30,36804328,Somero S-840 (8 hr minimum),03-200-10-20|51482137,03-200-10-20,51482137,#3 Rebar - 20' Pc
109,03-300-30-30|36804332,03-300-30-30,36804332,Somero Power Rake (8 hr minimum),03-200-10-20|51482138,03-200-10-20,51482138,#5 Rebar - 20' Pc
110,03-300-30-30|36804335,03-300-30-30,36804335,Somero 3D Profiler (with or without screed),03-200-10-20|51482139,03-200-10-20,51482139,#6 Rebar - 20' Pc
111,03-300-30-30|36804337,03-300-30-30,36804337,Topping spreader (attachment on the SRS4 machine),03-200-10-20|51482140,03-200-10-20,51482140,#7 Rebar - 20' Pc
112,03-300-30-30|36836742,03-300-30-30,36836742,Hydro 8' Rideon Trowler,03-200-10-20|51482141,03-200-10-20,51482141,#8 Rebar - 20' Pc
113,03-300-30-30|36836744,03-300-30-30,36836744,Hydro 10' Rideon Trowler,03-200-10-20|51482142,03-200-10-20,51482142,#9 Rebar - 20' Pc
114,03-300-30-30|36836745,03-300-30-30,36836745,8' Rideon Trowler,03-200-10-20|51482143,03-200-10-20,51482143,#11 Rebar - 20' Pc
115,03-300-30-30|36836746,03-300-30-30,36836746,6' Rideon Trowler,03-200-10-20|51482144,03-200-10-20,51482144,#10 Rebar - 20' Pc
116,03-300-30-10|38938591,03-300-30-10,38938591,Site Concrete Labor,03-300-00-20|51482145,03-300-00-20,51482145,Fiber
117,03-300-30-20|38938592,03-300-30-20,38938592,Site Concrete,03-300-00-30|51482288,03-300-00-30,51482288,Telehandler 8000 lb (In-House)
118,03-100-30-10|38938593,03-100-30-10,38938593,Site Concrete Forms Labor,03-300-00-40|51482289,03-300-00-40,51482289,Telehandler 8000 lb (Rental)
119,03-100-30-20|38938594,03-100-30-20,38938594,Site Concrete Wood Forms,03-300-00-30|51482290,03-300-00-30,51482290,Telehandler 8000 lb (In-House)
120,03-200-40-10|38938595,03-200-40-10,38938595,Site Rebar Labor,03-300-00-40|51482291,03-300-00-40,51482291,Scissor Lift Rental
121,03-200-40-20|38938596,03-200-40-20,38938596,#4 Rebar - 20' Pc,03-300-00-30|51482292,03-300-00-30,51482292,Tower Light
122,03-200-40-20|38938597,03-200-40-20,38938597,#3 Rebar - 20' Pc,03-300-00-30|51482293,03-300-00-30,51482293,Concrete Buggy
123,03-200-40-20|38938598,03-200-40-20,38938598,#5 Rebar - 20' Pc,03-300-00-50|51482336,03-300-00-50,51482336,Foundation Subcontractor
124,03-200-40-20|38938599,03-200-40-20,38938599,#6 Rebar - 20' Pc,03-300-00-10|51482365,03-300-00-10,51482365,Labor Foundation
125,03-200-40-20|38938600,03-200-40-20,38938600,#7 Rebar - 20' Pc,03-100-10-10|51482366,03-100-10-10,51482366,Labor Foundation Forms
126,03-200-40-20|38938601,03-200-40-20,38938601,#8 Rebar - 20' Pc,03-200-10-10|51482367,03-200-10-10,51482367,Labor Foundation Rebar
127,03-200-40-20|38938602,03-200-40-20,38938602,#9 Rebar - 20' Pc,03-300-00-12|51482368,03-300-00-12,51482368,Labor Continuous Footing
128,03-200-40-20|38938603,03-200-40-20,38938603,#11 Rebar - 20' Pc,03-300-00-16|51482369,03-300-00-16,51482369,Labor Spreadfooting
129,03-200-40-20|38938604,03-200-40-20,38938604,#10 Rebar - 20' Pc,03-300-00-14|51482370,03-300-00-14,51482370,Labor Pier
130,03-300-30-20|38975377,03-300-30-20,38975377,Fiber,03-100-20-20|51482146,03-100-20-20,51482146,TK Gold Form Release
131,03-300-30-30|38982918,03-300-30-30,38982918,Telehandler 8000 lb (In-House),03-300-10-20|51482147,03-300-10-20,51482147,Wall Concrete
132,03-300-30-40|38982919,03-300-30-40,38982919,Telehandler 8000 lb (Rental),03-200-20-20|51482148,03-200-20-20,51482148,#4 Rebar - 20' Pc
